Brand;Impeller diameter;a;b;Qnom
моб 150-60;230;77,8;0,00080789;150
моб 150-60;200;64,5;0,00091349;150
моб 300-60;240;78,5;0,00020637;300
моб 300-60;216;63,8;0,00020869;300
моб 600-60;445;74,7;0,000426;600
моб 600-60;400;62,6;0,00047568;600
моб 1250-60;525;77,4;0,000011368;1250
моб 1250-60;500;68,5;0,000010448;1250
моб 1250-60;475;61,2;0,0000093754;1250
моб 2500-80;540;102,4;0,0000037584;2500
моб 2500-80;515;94,6;0,0000040791;2500
моб 2500-80;487;85;0,0000040795;2500
моб 3600-90;610;126,1;0,000002804;3600
моб 3600-90;580;116,2;0,0000030621;3600
моб 3600-90;550;104,1;0,0000029749;3600
моб 5000-120;645;151,8;0,000001276;5000
моб 5000-120;613;137,7;0,0000012839;5000
моб 5000-120;580;123,1;0,0000012315;5000
